Date,Average 30 Year Mortgage Rate
"01, 2006",6.4
"02, 2006",6.42
"03, 2006",6.47
"04, 2006",6.55
"05, 2006",6.65
"06, 2006",6.71
"07, 2006",6.83
"08, 2006",6.78
"09, 2006",6.63
"10, 2006",6.6
"11, 2006",6.48
"12, 2006",6.38
"01, 2007",6.36
"02, 2007",6.37
"03, 2007",6.31
"04, 2007",6.26
"05, 2007",6.36
"06, 2007",6.59
"07, 2007",6.77
"08, 2007",6.73
"09, 2007",6.56
"10, 2007",6.5
"11, 2007",6.36
"12, 2007",6.2
"01, 2008",5.98
"02, 2008",5.93
"03, 2008",6.1
"04, 2008",5.98
"05, 2008",6.07
"06, 2008",6.24
"07, 2008",6.42
"08, 2008",6.49
"09, 2008",6.16
"10, 2008",6.12
"11, 2008",6.17
"12, 2008",5.51
"01, 2009",5.09
"02, 2009",5.03
"03, 2009",5.05
"04, 2009",4.87
"05, 2009",4.88
"06, 2009",5.12
"07, 2009",5.31
"08, 2009",5.3
"09, 2009",5.23
"10, 2009",5.1
"11, 2009",5.09
"12, 2009",5.05
"01, 2010",5.1
"02, 2010",5.13
"03, 2010",5.09
"04, 2010",5.12
"05, 2010",5.12
"06, 2010",5.0
"07, 2010",4.84
"08, 2010",4.7
"09, 2010",4.58
"10, 2010",4.46
"11, 2010",4.38
"12, 2010",4.61
