Date,30 Year
"01, 2006",
"02, 2006",4.54
"03, 2006",4.73
"04, 2006",5.06
"05, 2006",5.2
"06, 2006",5.15
"07, 2006",5.13
"08, 2006",5.0
"09, 2006",4.85
"10, 2006",4.85
"11, 2006",4.69
"12, 2006",4.68
"01, 2007",4.85
"02, 2007",4.82
"03, 2007",4.72
"04, 2007",4.87
"05, 2007",4.9
"06, 2007",5.2
"07, 2007",5.11
"08, 2007",4.93
"09, 2007",4.79
"10, 2007",4.77
"11, 2007",4.52
"12, 2007",4.53
"01, 2008",4.33
"02, 2008",4.52
"03, 2008",4.39
"04, 2008",4.44
"05, 2008",4.6
"06, 2008",4.69
"07, 2008",4.57
"08, 2008",4.5
"09, 2008",4.27
"10, 2008",4.17
"11, 2008",4.0
"12, 2008",2.87
"01, 2009",3.13
"02, 2009",3.59
"03, 2009",3.64
"04, 2009",3.76
"05, 2009",4.23
"06, 2009",4.52
"07, 2009",4.41
"08, 2009",4.37
"09, 2009",4.19
"10, 2009",4.19
"11, 2009",4.31
"12, 2009",4.49
"01, 2010",4.6
"02, 2010",4.62
"03, 2010",4.64
"04, 2010",4.69
"05, 2010",4.29
"06, 2010",4.13
"07, 2010",3.99
"08, 2010",3.8
"09, 2010",3.77
"10, 2010",3.87
"11, 2010",4.19
"12, 2010",4.42
